sample_id,split,year,title,L1_art5_prohibited,L3_annex_i_product,L2_annex_iii_domain,L4_art6_3_derogation,L5_profiling_override,L6_art50_transparency,FINAL_risk_tier,confidence_1to3,consulted_full_page,notes
S005,heldout,2016,Passport checker Detects Asian man's Eyes as Closed,no,no,migration,does_not_apply,no,no,high,3,yes,
S006,heldout,2015,Australian Automated Debt Assessment System Issued False Notices to Thousands,no,no,essential_services,does_not_apply,yes,no,high,3,yes,
S007,heldout,2020,UK passport photo checker shows bias against dark-skinned women,no,no,migration,does_not_apply,no,no,high,3,yes,
S008,heldout,2020,Tesla Autopilot Mistakes Red Letters on Flag for Red Traffic Lights,no,yes,none,not_applicable,not_applicable,no,high,3,yes,
S009,heldout,2019,"Tesla Model 3 on Autopilot Crashed into a Ford Explorer Pickup, Killing a Fifteen-Year-Old in California",no,yes,none,not_applicable,not_applicable,no,high,3,yes,
S010,heldout,2018,"Chinese Tech Firms Allegedly Developed Facial Recognition to Identify People by Race, Targeting Uyghur Muslims",yes,no,biometrics,not_applicable,not_applicable,yes,prohibited,3,yes,Race is in the exhaustive Article 5(1)(g) list; the system categorises people from facial biometrics.
S011,heldout,2017,PimEyes's Facial Recognition AI Allegedly Lacked Safeguards to Prevent Itself from Being Abused,no,no,biometrics,does_not_apply,no,no,high,3,yes,"The record shows facial search, but not the untargeted scraping needed to establish Article 5(1)(e)."
S013,heldout,2012,Police Departments Reported ShotSpotter as Unreliable and Wasteful,no,no,law_enforcement,does_not_apply,no,no,high,3,yes,
S014,heldout,2020,"Brand Safety Tech Firms Falsely Claimed Use of AI, Blocking Ads Using Simple Keyword Lists",no,no,none,not_applicable,not_applicable,no,not_ai_system,3,yes,"The record describes simple keyword lists, a deterministic process with no inferential element."
S015,heldout,2021,Web Accessibility Vendors Allegedly Falsely Claimed to Provide Compliance Using AI,no,no,none,not_applicable,not_applicable,no,minimal,2,yes,The vendors' compliance claims are separate from the system's intended function; the record does not show the system was configured to deceive users.
S016,heldout,2022,Cruise Autonomous Taxi Allegedly Bolted off from Police After Being Pulled over in San Francisco,no,yes,none,not_applicable,not_applicable,no,high,3,yes,
S018,heldout,2020,Climate Action Group Posted Deepfake of Belgian Prime Minister Urging Climate Crisis Action,no,no,none,not_applicable,not_applicable,yes,transparency,2,yes,"The deepfake triggers Article 50, but the record does not establish Article 5's material-distortion and significant-harm elements."
S020,heldout,2020,Poachers Evaded AI Cameras and Killed Four Rhinos,no,no,none,not_applicable,not_applicable,no,minimal,2,yes,"Anti-poaching detection by a wildlife authority is commonly treated as law-enforcement use, but Annex III 6 is a closed list (victim risk, polygraphs, evidence reliability, reoffending risk, investigative profiling)."
S021,heldout,2014,US DHS’s Opaque Vetting Software Allegedly Relied on Poor-Quality Data and Discriminated against Immigrants,no,no,migration,does_not_apply,yes,no,high,3,yes,
