sample_id,selection_role,title,FINAL_risk_tier,confidence_1to3,notes,disagreements,author_review_status,author_error_code,author_reason,author_name,reviewed_at,reference_decision
S011,disagreement,PimEyes's Facial Recognition AI Allegedly Lacked Safeguards to Prevent Itself from Being Abused,high,3,"The record shows facial search, but not the untargeted scraping needed to establish Article 5(1)(e).",21,pending,,,,,
S033,disagreement,Finnish Police Were Reportedly Reprimanded After National Bureau of Investigation Unit Allegedly Used Clearview AI to Identify Potential Abuse Victims,high,3,"The police use was retrospective identification of abuse victims, not real-time identification in public space; the record does not establish untargeted scraping by the incident deployer.",17,pending,,,,,
S066,disagreement,Deepfake Generated by the Lincoln Project of Trump's Father Used in Political Attack Ad,high,3,"The same political actor developed and deployed the synthetic media to influence voters, so the election-use rule is satisfied.",14,pending,,,,,
S006,agreement_control,Australian Automated Debt Assessment System Issued False Notices to Thousands,high,3,,0,pending,,,,,
S140,disagreement,KPMG Report Allegedly Included Hallucinated Citations and Inaccurate Agentic AI Case Studies,insufficient_information,2,"AI involvement and the specific system were not confirmed, so the function and deployment context cannot be classified reliably.",19,pending,,,,,
S072,disagreement,Cartels Reportedly Using AI to Expand Operations into Financial Fraud and Human Trafficking,insufficient_information,1,"The row refers generally to cartels using AI but does not identify a concrete system, inferential function, or deployment context.",17,pending,,,,,
S058,disagreement,Stacking robot fatally crushes employee in South Korea,minimal,3,A general industrial stacking robot is normally self-certifying; the record does not show a self-evolving AI safety function requiring third-party assessment.,18,pending,,,,,
S144,disagreement,Purportedly AI-Powered Software Allegedly Used to Replace Montefiore Hospital Utilization-Review Nurses Despite Contractual AI Safeguards,minimal,2,"The record describes nonclinical paperwork automation, not a medical device or an AI system deciding recruitment, termination, task allocation, or worker monitoring.",16,pending,,,,,
S001,disagreement,Warehouse robot ruptures can of bear spray and injures workers,minimal,2,"The warehouse robot is treated as inferential machinery, but ordinary industrial robots are normally self-certifying and no self-evolving AI safety function is described.",15,pending,,,,,
S020,lowest_disagreement_control,Poachers Evaded AI Cameras and Killed Four Rhinos,minimal,2,"Anti-poaching detection by a wildlife authority is commonly treated as law-enforcement use, but Annex III 6 is a closed list (victim risk, polygraphs, evidence reliability, reoffending risk, investigative profiling).",3,pending,,,,,
S024,disagreement,Dartmouth's Geisel School of Medicine Reportedly Used Canvas Activity Logs to Accuse Students of Cheating,not_ai_system,2,"The record identifies Canvas activity logs and a human internal analysis, but no system that inferred an output; the students' intent was inferred by people.",14,pending,,,,,
S014,disagreement,"Brand Safety Tech Firms Falsely Claimed Use of AI, Blocking Ads Using Simple Keyword Lists",not_ai_system,3,"The record describes simple keyword lists, a deterministic process with no inferential element.",2,pending,,,,,
S106,disagreement,Preprints Reportedly from Researchers from Multiple Universities Allegedly Contain Covert AI Prompts,prohibited,2,"Hidden prompts deliberately configured AI review tools to produce favourable assessments, a deceptive technique capable of materially distorting academic decisions.",27,pending,,,,,
S093,disagreement,AI-Generated OB-GYN Health Influencers on TikTok Used Fake Medical Credentials to Promote Dubious Advice,prohibited,3,"The synthetic influencers were configured with fake medical credentials to deceive viewers into relying on dubious health advice, with likely significant harm.",24,pending,,,,,
S069,disagreement,American Asylum Seeker John Mark Dougan in Russia Reportedly Spreads Disinformation via AI Tools and Fake News Network,prohibited,3,"The operator configured generative tools to build a large deceptive fake-news network intended to manipulate public opinion, with likely significant democratic harm.",23,pending,,,,,
S010,lowest_disagreement_control,"Chinese Tech Firms Allegedly Developed Facial Recognition to Identify People by Race, Targeting Uyghur Muslims",prohibited,3,Race is in the exhaustive Article 5(1)(g) list; the system categorises people from facial biometrics.,2,pending,,,,,
S110,disagreement,Google Healthcare AI Model Med‑Gemini Allegedly Produces Non‑Existent 'Basilar Ganglia' Term in Published Output,transparency,2,The record does not establish whether Med-Gemini was put into service as medical-device software; the invented term is synthetic text and an ordinary model error.,22,pending,,,,,
S113,disagreement,LAMEHUG Malware Reportedly Integrates Large Language Model for Real-Time Command Generation in a Purported APT28-Linked Cyberattack,transparency,3,"The LLM inferred and generated command text, but the intended malicious use is not an Annex III law-enforcement use and does not distort a natural person's decision-making.",19,pending,,,,,
S088,disagreement,"Hong Kong Authorities Seize HK$34M in Alleged Deepfake Scam Targeting Victims in Taiwan, Singapore, and Malaysia",transparency,2,The synthetic identities and media were deployed to deceive victims into severe romance and investment losses.,18,pending,,,,,
S117,agreement_control,NTB Report on Telenor Security Findings Was Withdrawn After AI Tool Allegedly Introduced Fabricated Quotes,transparency,3,Fabricated quotes are an ordinary generative failure rather than evidence that the system was configured to manipulate; the output is synthetic text.,0,pending,,,,,
