model,prompt,evidence,label,support,predicted,true_positive,precision,recall,f1
gemini37f,naive,short,minimal,2,2,2,1.0,1.0,1.0
gemini37f,naive,short,transparency,1,1,1,1.0,1.0,1.0
gemini37f,naive,short,high,9,8,8,1.0,0.8888888888888888,0.9411764705882353
gemini37f,naive,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gemini37f,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
gemini37f,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
gemini3f,naive,short,minimal,2,2,2,1.0,1.0,1.0
gemini3f,naive,short,transparency,1,1,1,1.0,1.0,1.0
gemini3f,naive,short,high,9,9,9,1.0,1.0,1.0
gemini3f,naive,short,prohibited,1,1,1,1.0,1.0,1.0
gemini3f,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
gemini3f,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
gemma27b,naive,short,minimal,2,0,0,0.0,0.0,0.0
gemma27b,naive,short,transparency,1,2,1,0.5,1.0,0.6666666666666666
gemma27b,naive,short,high,9,11,9,0.8181818181818182,1.0,0.9
gemma27b,naive,short,prohibited,1,1,1,1.0,1.0,1.0
gemma27b,naive,short,not_ai_system,1,0,0,0.0,0.0,0.0
gemma27b,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
gpt52,naive,short,minimal,2,2,2,1.0,1.0,1.0
gpt52,naive,short,transparency,1,1,1,1.0,1.0,1.0
gpt52,naive,short,high,9,9,9,1.0,1.0,1.0
gpt52,naive,short,prohibited,1,1,1,1.0,1.0,1.0
gpt52,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
gpt52,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
gpt56luna,naive,short,minimal,2,4,2,0.5,1.0,0.6666666666666666
gpt56luna,naive,short,transparency,1,1,1,1.0,1.0,1.0
gpt56luna,naive,short,high,9,6,6,1.0,0.6666666666666666,0.8
gpt56luna,naive,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gpt56luna,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
gpt56luna,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
gpt56sol,naive,short,minimal,2,4,2,0.5,1.0,0.6666666666666666
gpt56sol,naive,short,transparency,1,1,1,1.0,1.0,1.0
gpt56sol,naive,short,high,9,6,6,1.0,0.6666666666666666,0.8
gpt56sol,naive,short,prohibited,1,1,1,1.0,1.0,1.0
gpt56sol,naive,short,not_ai_system,1,2,1,0.5,1.0,0.6666666666666666
gpt56sol,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
grok46,naive,short,minimal,2,4,2,0.5,1.0,0.6666666666666666
grok46,naive,short,transparency,1,1,1,1.0,1.0,1.0
grok46,naive,short,high,9,6,6,1.0,0.6666666666666666,0.8
grok46,naive,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
grok46,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
grok46,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
haiku45,naive,short,minimal,2,0,0,0.0,0.0,0.0
haiku45,naive,short,transparency,1,0,0,0.0,0.0,0.0
haiku45,naive,short,high,9,11,9,0.8181818181818182,1.0,0.9
haiku45,naive,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
haiku45,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
haiku45,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
kimi25,naive,short,minimal,2,1,0,0.0,0.0,0.0
kimi25,naive,short,transparency,1,1,1,1.0,1.0,1.0
