ts,condition,model,run,sample_id,prompt_tokens,completion_tokens,cost_usd
1787770116,decomposed,gemma27b,1,S001,2131,128,0.00037853
1787770116,decomposed,gemma27b,1,S003,2103,124,0.00022404
1787770117,decomposed,gpt52,1,S003,2025,182,0.00609175
1787770117,decomposed,gpt52,1,S002,2028,191,0.0034006
1787770119,decomposed,gemma27b,1,S002,2103,111,0.000186
1787770119,decomposed,sonnet46,1,S001,2228,137,0.008739
1787770120,decomposed,sonnet46,1,S002,2238,142,0.008844
1787770121,decomposed,sonnet46,1,S003,2230,141,0.008805
1787770128,decomposed,gpt52,1,S001,2026,415,0.0065331
1787770132,decomposed,grok46,1,S002,2263,724,0.008678
1787770133,decomposed,grok46,1,S003,2259,663,0.008304
1787770139,decomposed,grok46,1,S001,2261,1770,0.01495
1787770181,naive,sonnet46,1,S001,330,63,0.001935
1787770181,naive,sonnet46,1,S017,365,68,0.002115
1787770182,naive,sonnet46,1,S019,348,75,0.002169
1787770182,naive,sonnet46,1,S036,462,80,0.002586
1787770182,naive,sonnet46,1,S012,389,84,0.002427
1787770182,naive,sonnet46,1,S024,481,90,0.002793
1787770182,naive,sonnet46,1,S004,329,79,0.002172
1787770182,naive,sonnet46,1,S002,340,109,0.002655
1787770182,naive,sonnet46,1,S003,332,111,0.002661
1787770183,naive,sonnet46,1,S032,365,93,0.00249
1787770184,naive,sonnet46,1,S042,362,76,0.002226
1787770184,naive,sonnet46,1,S040,362,96,0.002526
1787770184,naive,sonnet46,1,S044,371,87,0.002418
1787770185,naive,sonnet46,1,S043,373,78,0.002289
1787770185,naive,sonnet46,1,S048,370,82,0.00234
1787770185,naive,sonnet46,1,S049,388,81,0.002379
1787770185,naive,sonnet46,1,S045,369,94,0.002517
1787770185,naive,sonnet46,1,S053,391,90,0.002523
1787770186,naive,sonnet46,1,S056,444,96,0.002772
1787770188,naive,sonnet46,1,S059,462,126,0.003276
1787770203,naive,sonnet46,1,S079,406,79,0.002403
1787770204,naive,sonnet46,1,S081,379,73,0.002232
1787770204,naive,sonnet46,1,S065,428,96,0.002724
1787770204,naive,sonnet46,1,S069,466,101,0.002913
1787770205,naive,sonnet46,1,S074,428,113,0.002979
1787770206,naive,sonnet46,1,S093,416,89,0.002583
1787770207,naive,sonnet46,1,S100,484,80,0.002652
1787770207,naive,sonnet46,1,S089,480,87,0.002745
1787770207,naive,sonnet46,1,S109,475,79,0.00261
1787770210,naive,sonnet46,1,S111,493,178,0.004149
1787770210,naive,sonnet46,1,S116,501,87,0.002808
1787770210,naive,sonnet46,1,S112,458,111,0.003039
1787770210,naive,sonnet46,1,S117,443,76,0.002469
1787770210,naive,sonnet46,1,S123,473,107,0.003024
1787770213,naive,sonnet46,1,S132,450,80,0.00255
1787770213,naive,sonnet46,1,S130,429,90,0.002637
