model,step,n,matches,missing
gemini37f,annex_i,144,141,0
gemini37f,annex_iii,144,134,0
gemini37f,art5,144,130,0
gemini37f,art50,144,137,0
gemini37f,derogation,144,134,0
gemini37f,profiling,144,126,0
gemini3f,annex_i,144,137,2
gemini3f,annex_iii,144,108,1
gemini3f,art5,144,129,1
gemini3f,art50,144,123,1
gemini3f,derogation,144,127,1
gemini3f,profiling,144,120,1
gemma27b,annex_i,144,107,0
gemma27b,annex_iii,144,102,0
gemma27b,art5,144,99,0
gemma27b,art50,144,122,0
gemma27b,derogation,144,110,0
gemma27b,profiling,144,68,0
gpt52,annex_i,144,140,0
gpt52,annex_iii,144,124,0
gpt52,art5,144,106,0
gpt52,art50,144,134,0
gpt52,derogation,144,131,0
gpt52,profiling,144,128,0
gpt56luna,annex_i,144,142,0
gpt56luna,annex_iii,144,124,0
gpt56luna,art5,144,104,0
gpt56luna,art50,144,138,0
gpt56luna,derogation,144,133,0
gpt56luna,profiling,144,129,0
gpt56sol,annex_i,144,142,0
gpt56sol,annex_iii,144,135,0
gpt56sol,art5,144,106,0
gpt56sol,art50,144,141,0
gpt56sol,derogation,144,131,0
gpt56sol,profiling,144,131,0
grok46,annex_i,144,141,0
grok46,annex_iii,144,135,0
grok46,art5,144,130,0
grok46,art50,144,139,0
grok46,derogation,144,130,0
grok46,profiling,144,130,0
haiku45,annex_i,144,133,0
haiku45,annex_iii,144,88,0
haiku45,art5,144,55,0
haiku45,art50,144,123,0
haiku45,derogation,144,118,0
haiku45,profiling,144,121,0
kimi25,annex_i,144,140,0
kimi25,annex_iii,144,130,0
kimi25,art5,144,129,0
kimi25,art50,144,135,0
kimi25,derogation,144,133,0
kimi25,profiling,144,132,0
kimi3,annex_i,144,140,0
kimi3,annex_iii,144,135,0
kimi3,art5,144,112,0
kimi3,art50,144,137,0
kimi3,derogation,144,132,0
kimi3,profiling,144,127,0
qwen3827b,annex_i,144,141,0
qwen3827b,annex_iii,144,129,0
qwen3827b,art5,144,122,0
qwen3827b,art50,144,142,0
qwen3827b,derogation,144,132,0
qwen3827b,profiling,144,124,0
qwen38max,annex_i,144,142,0
qwen38max,annex_iii,144,134,0
qwen38max,art5,144,110,0
qwen38max,art50,144,141,0
qwen38max,derogation,144,135,0
qwen38max,profiling,144,132,0
sonnet46,annex_i,144,138,0
sonnet46,annex_iii,144,120,0
sonnet46,art5,144,92,0
sonnet46,art50,144,126,0
sonnet46,derogation,144,127,0
sonnet46,profiling,144,118,0
sonnet5,annex_i,144,137,0
sonnet5,annex_iii,144,118,0
sonnet5,art5,144,120,0
sonnet5,art50,144,136,0
sonnet5,derogation,144,131,0
sonnet5,profiling,144,119,0
