sample_id,title,FINAL_risk_tier,confidence_1to3,notes,disagreements
S001,Warehouse robot ruptures can of bear spray and injures workers,minimal,2,"The warehouse robot is treated as inferential machinery, but ordinary industrial robots are normally self-certifying and no self-evolving AI safety function is described.",15
S002,Amazon Alexa Responding to Environmental Inputs,transparency,3,"Alexa directly interacts with natural persons; unintended activations are ordinary recognition errors, not Article 5 manipulation.",4
S003,Deepfake Obama Introduction of Deepfakes,transparency,3,The research demonstration generated synthetic video but is not shown to have been deployed deceptively or to cause significant harm.,2
S004,All Image Captions Produced are Violent,transparency,3,The model generated synthetic caption text; deliberately producing violent captions does not by itself materially distort a person's informed decision-making.,11
S005,Passport checker Detects Asian man's Eyes as Closed,high,3,,9
S006,Australian Automated Debt Assessment System Issued False Notices to Thousands,high,3,,0
S007,UK passport photo checker shows bias against dark-skinned women,high,3,,11
S008,Tesla Autopilot Mistakes Red Letters on Flag for Red Traffic Lights,high,3,,0
S009,"Tesla Model 3 on Autopilot Crashed into a Ford Explorer Pickup, Killing a Fifteen-Year-Old in California",high,3,,0
S010,"Chinese Tech Firms Allegedly Developed Facial Recognition to Identify People by Race, Targeting Uyghur Muslims",prohibited,3,Race is in the exhaustive Article 5(1)(g) list; the system categorises people from facial biometrics.,2
S011,PimEyes's Facial Recognition AI Allegedly Lacked Safeguards to Prevent Itself from Being Abused,high,3,"The record shows facial search, but not the untargeted scraping needed to establish Article 5(1)(e).",21
S012,Arkansas's Opaque Algorithm to Allocate Health Care Excessively Cut Down Hours for Beneficiaries,high,3,"The system allocated Medicaid waiver care, directly determining access to a public assistance service and profiling beneficiaries from health data.",0
S013,Police Departments Reported ShotSpotter as Unreliable and Wasteful,high,3,,9
S014,"Brand Safety Tech Firms Falsely Claimed Use of AI, Blocking Ads Using Simple Keyword Lists",not_ai_system,3,"The record describes simple keyword lists, a deterministic process with no inferential element.",2
S015,Web Accessibility Vendors Allegedly Falsely Claimed to Provide Compliance Using AI,minimal,2,The vendors' compliance claims are separate from the system's intended function; the record does not show the system was configured to deceive users.,5
S016,Cruise Autonomous Taxi Allegedly Bolted off from Police After Being Pulled over in San Francisco,high,3,,0
S017,Compromise of National Biometric ID Card System Leads to Reverification and Change of Status,high,2,The national biometric-identification system is treated as Annex III biometric identification; the record does not show sensitive-trait categorisation or untargeted facial-image scraping.,3
