sample_id,condition,model,run,steps,pilot,risk_tier,rationale,source_file,split,sampling_stratum,split_expert,year,title,L1_art5_prohibited,L3_annex_i_product,L2_annex_iii_domain,L4_art6_3_derogation,L5_profiling_override,L6_art50_transparency,FINAL_risk_tier,confidence_1to3,consulted_full_page,notes,description,aiid_url
S001,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,minimal,The warehouse robot is general industrial machinery that normally self-certifies under EU machinery legislation and falls outside the high-risk use cases listed in Annex III.,decomposed_gemini37f_run1_all.json,dev,employment,dev,2018,Warehouse robot ruptures can of bear spray and injures workers,no,no,none,not_applicable,not_applicable,no,minimal,2,no,"The warehouse robot is treated as inferential machinery, but ordinary industrial robots are normally self-certifying and no self-evolving AI safety function is described.",Twenty-four Amazon workers in New Jersey were hospitalized after a robot punctured a can of bear repellent spray in a warehouse.,https://incidentdatabase.ai/cite/2
S006,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}",False,high,"The system is used by a public authority to evaluate, recalculate, or reclaim public assistance benefits, which falls squarely under Annex III, point 5(a) as a high-risk AI system.",decomposed_gemini37f_run1_all.json,heldout,essential_services,heldout,2015,Australian Automated Debt Assessment System Issued False Notices to Thousands,no,no,essential_services,does_not_apply,yes,no,high,3,yes,,"Australian Department of Human Services (DHS)’s automated debt assessment system issued false or incorrect debt notices to hundreds of thousands of people, resulting in years-long lawsuits and damages to welfare recipients.",https://incidentdatabase.ai/cite/57
S010,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,prohibited,"The AI system uses biometric categorisation to deduce or infer race, which is a prohibited AI practice under Article 5(1)(g) of the EU AI Act.",decomposed_gemini37f_run1_all.json,heldout,biometrics,heldout,2018,"Chinese Tech Firms Allegedly Developed Facial Recognition to Identify People by Race, Targeting Uyghur Muslims",yes,no,biometrics,not_applicable,not_applicable,yes,prohibited,3,yes,Race is in the exhaustive Article 5(1)(g) list; the system categorises people from facial biometrics.,"Various Chinese firms were revealed by patent applications to have developed facial recognition capable of detecting people by race, which critics feared would enable persecution and discrimination of Uyghur Muslims.",https://incidentdatabase.ai/cite/107
S011,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,prohibited,"PimEyes creates and expands a facial recognition database via untargeted scraping of facial images from the internet, which is prohibited under Article 5(1)(e) of the EU AI Act.",decomposed_gemini37f_run1_all.json,heldout,biometrics,heldout,2017,PimEyes's Facial Recognition AI Allegedly Lacked Safeguards to Prevent Itself from Being Abused,no,no,biometrics,does_not_apply,no,no,high,3,yes,"The record shows facial search, but not the untargeted scraping needed to establish Article 5(1)(e).","PimEyes offered its subscription-based AI service to anyone in the public to search for matching facial images across the internet, which critics said lacked public oversight and government rules to prevent itself from misuse such as stalking women.",https://incidentdatabase.ai/cite/109
S014,decomposed,gemini37f,1,"{""art3_1"": ""not_ai_system"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,not_ai_system,"The system relied on simple deterministic keyword lists without any inferential capability, meaning it is not an AI system under Article 3(1).",decomposed_gemini37f_run1_all.json,heldout,control_pool,heldout,2020,"Brand Safety Tech Firms Falsely Claimed Use of AI, Blocking Ads Using Simple Keyword Lists",no,no,none,not_applicable,not_applicable,no,not_ai_system,3,yes,"The record describes simple keyword lists, a deterministic process with no inferential element.","Brand safety tech firms falsely claimed use of AI, blocking ads using simple keyword lists.",https://incidentdatabase.ai/cite/136
S020,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,minimal,"The AI camera system is used for wildlife surveillance and anti-poaching monitoring, which falls outside the scope of Annex I and Annex III high-risk use cases.",decomposed_gemini37f_run1_all.json,heldout,control_pool,heldout,2020,Poachers Evaded AI Cameras and Killed Four Rhinos,no,no,none,not_applicable,not_applicable,no,minimal,2,yes,"Anti-poaching detection by a wildlife authority is commonly treated as law-enforcement use, but Annex III 6 is a closed list (victim risk, polygraphs, evidence reliability, reoffending risk, investigative profiling).",AI cameras installed by Ezemvelo KZN Wildlife failed to detect poachers when four dehorned rhino carcasses were found.,https://incidentdatabase.ai/cite/219
S024,decomposed,gemini37f,1,"{""art3_1"": ""not_ai_system"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,not_ai_system,Canvas activity logs and the internal review process rely on deterministic server event logging without any inferential AI component.,decomposed_gemini37f_run1_all.json,dev,education,dev,2021,Dartmouth's Geisel School of Medicine Reportedly Used Canvas Activity Logs to Accuse Students of Cheating,no,no,none,not_applicable,not_applicable,no,not_ai_system,2,no,"The record identifies Canvas activity logs and a human internal analysis, but no system that inferred an output; the students' intent was inferred by people.","Dartmouth's Geisel School of Medicine reportedly used Canvas learning-management activity logs and an internal analysis process to investigate remote-exam cheating during the 2020–2021 academic year. Seventeen medical students were charged after the school inferred that they accessed course materials during exams, but students and outside technical reviewers said automated Canvas activity may have been misread as intentional misconduct. Dartmouth later dropped the charges.",https://incidentdatabase.ai/cite/302
S033,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""law_enforcement"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,prohibited,"The system relies on creating or expanding facial recognition databases through the untargeted scraping of facial images from the internet, which constitutes a prohibited practice under Article 5(1)(e).",decomposed_gemini37f_run1_all.json,heldout,biometrics,heldout,2020,Finnish Police Were Reportedly Reprimanded After National Bureau of Investigation Unit Allegedly Used Clearview AI to Identify Potential Abuse Victims,no,no,biometrics,does_not_apply,no,no,high,3,no,"The police use was retrospective identification of abuse victims, not real-time identification in public space; the record does not establish untargeted scraping by the incident deployer.",Finland's Deputy Data Protection Ombudsman reportedly reprimanded the National Police Board after a National Bureau of Investigation child sexual exploitation unit allegedly used Clearview AI in late 2019 or early 2020 to identify potential child sexual abuse victims. Four NBI users reportedly made about 120 searches during a free trial without controller approval or prior assessment of how uploaded biometric data would be handled.,https://incidentdatabase.ai/cite/412
S058,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,minimal,The industrial stacking robot is general industrial machinery that normally self-certifies under EU machinery law and does not fall within any Annex III high-risk use case or Article 5 prohibition.,decomposed_gemini37f_run1_all.json,heldout,employment,heldout,2023,Stacking robot fatally crushes employee in South Korea,no,no,none,not_applicable,not_applicable,no,minimal,3,no,A general industrial stacking robot is normally self-certifying; the record does not show a self-evolving AI safety function requiring third-party assessment.,An industrial robot is reported to have crushed a man to death in South Korea when it failed to differentiate the man from the boxes of produce it was handling.,https://incidentdatabase.ai/cite/599
S066,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,transparency,"The system is a generative AI tool used to create synthetic video (deepfake) content, which falls outside Annex III high-risk areas but is subject to transparency obligations under Article 50.",decomposed_gemini37f_run1_all.json,heldout,justice_democracy,heldout,2024,Deepfake Generated by the Lincoln Project of Trump's Father Used in Political Attack Ad,no,no,justice_democracy,does_not_apply,no,yes,high,3,no,"The same political actor developed and deployed the synthetic media to influence voters, so the election-use rule is satisfied.","The Lincoln Project used AI to create a deepfake video of Donald Trump's deceased father criticizing him. Although they made it clear that the video was a deepfake, the deeply personal nature of the attack represents a corrosive use of artificial intelligence in undermining democratic norms during an election cycle.",https://incidentdatabase.ai/cite/664
