model,sample_id,step,reference,prediction,missing,match,final_match
gemini37f,S001,art5,no,no,False,True,True
gemini37f,S001,annex_i,no,no,False,True,True
gemini37f,S001,annex_iii,none,none,False,True,True
gemini37f,S001,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S001,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S001,art50,no,no,False,True,True
gemini37f,S002,art5,no,no,False,True,True
gemini37f,S002,annex_i,no,no,False,True,True
gemini37f,S002,annex_iii,none,none,False,True,True
gemini37f,S002,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S002,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S002,art50,yes,yes,False,True,True
gemini37f,S003,art5,no,no,False,True,True
gemini37f,S003,annex_i,no,no,False,True,True
gemini37f,S003,annex_iii,none,none,False,True,True
gemini37f,S003,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S003,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S003,art50,yes,yes,False,True,True
gemini37f,S004,art5,no,no,False,True,True
gemini37f,S004,annex_i,no,no,False,True,True
gemini37f,S004,annex_iii,none,none,False,True,True
gemini37f,S004,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S004,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S004,art50,yes,yes,False,True,True
gemini37f,S005,art5,no,no,False,True,False
gemini37f,S005,annex_i,no,no,False,True,False
gemini37f,S005,annex_iii,migration,none,False,False,False
gemini37f,S005,derogation,does_not_apply,not_applicable,False,False,False
gemini37f,S005,profiling,no,not_applicable,False,False,False
gemini37f,S005,art50,no,no,False,True,False
gemini37f,S006,art5,no,no,False,True,True
gemini37f,S006,annex_i,no,no,False,True,True
gemini37f,S006,annex_iii,essential_services,essential_services,False,True,True
gemini37f,S006,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S006,profiling,yes,yes,False,True,True
gemini37f,S006,art50,no,no,False,True,True
gemini37f,S007,art5,no,no,False,True,False
gemini37f,S007,annex_i,no,no,False,True,False
gemini37f,S007,annex_iii,migration,none,False,False,False
gemini37f,S007,derogation,does_not_apply,not_applicable,False,False,False
gemini37f,S007,profiling,no,not_applicable,False,False,False
gemini37f,S007,art50,no,no,False,True,False
gemini37f,S008,art5,no,no,False,True,True
gemini37f,S008,annex_i,yes,yes,False,True,True
gemini37f,S008,annex_iii,none,none,False,True,True
gemini37f,S008,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S008,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S008,art50,no,no,False,True,True
gemini37f,S009,art5,no,no,False,True,True
gemini37f,S009,annex_i,yes,yes,False,True,True
gemini37f,S009,annex_iii,none,none,False,True,True
gemini37f,S009,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S009,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S009,art50,no,no,False,True,True
gemini37f,S010,art5,yes,yes,False,True,True
gemini37f,S010,annex_i,no,no,False,True,True
gemini37f,S010,annex_iii,biometrics,biometrics,False,True,True
gemini37f,S010,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S010,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S010,art50,yes,yes,False,True,True
gemini37f,S011,art5,no,yes,False,False,False
gemini37f,S011,annex_i,no,no,False,True,False
gemini37f,S011,annex_iii,biometrics,biometrics,False,True,False
gemini37f,S011,derogation,does_not_apply,not_applicable,False,False,False
gemini37f,S011,profiling,no,not_applicable,False,False,False
gemini37f,S011,art50,no,no,False,True,False
gemini37f,S012,art5,no,no,False,True,True
gemini37f,S012,annex_i,no,no,False,True,True
gemini37f,S012,annex_iii,essential_services,essential_services,False,True,True
gemini37f,S012,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S012,profiling,yes,yes,False,True,True
gemini37f,S012,art50,no,no,False,True,True
gemini37f,S013,art5,no,no,False,True,False
gemini37f,S013,annex_i,no,no,False,True,False
gemini37f,S013,annex_iii,law_enforcement,none,False,False,False
gemini37f,S013,derogation,does_not_apply,not_applicable,False,False,False
gemini37f,S013,profiling,no,not_applicable,False,False,False
gemini37f,S013,art50,no,no,False,True,False
gemini37f,S014,art5,no,no,False,True,True
gemini37f,S014,annex_i,no,no,False,True,True
gemini37f,S014,annex_iii,none,none,False,True,True
gemini37f,S014,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S014,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S014,art50,no,no,False,True,True
gemini37f,S015,art5,no,no,False,True,True
gemini37f,S015,annex_i,no,no,False,True,True
gemini37f,S015,annex_iii,none,none,False,True,True
