request_id,sample_id,model,prompt,evidence,attempted,finished,parse_status,reference,prediction,exact_match,cost_usd
S007_sonnet5_decomposed_short,S007,sonnet5,decomposed,short,True,True,valid,high,minimal,False,0.02813
S007_grok46_decomposed_expanded,S007,grok46,decomposed,expanded,True,True,valid,high,transparency,False,0.020296
S007_gpt56sol_decomposed_short,S007,gpt56sol,decomposed,short,True,True,valid,high,transparency,False,0.0091135
S007_gemma27b_decomposed_expanded,S007,gemma27b,decomposed,expanded,True,True,valid,high,high,True,0.000288324
S007_gemini37f_naive_expanded,S007,gemini37f,naive,expanded,True,True,valid,high,high,True,0.00201075
S007_haiku45_naive_short,S007,haiku45,naive,short,True,True,valid,high,high,True,0.000797
S007_kimi3_decomposed_expanded,S007,kimi3,decomposed,expanded,True,True,valid,high,minimal,False,0.028449
S007_sonnet5_naive_short,S007,sonnet5,naive,short,True,True,valid,high,minimal,False,0.001778
S007_haiku45_naive_expanded,S007,haiku45,naive,expanded,True,True,valid,high,high,True,0.000808
S007_gpt52_naive_short,S007,gpt52,naive,short,True,True,valid,high,high,True,0.002352
S007_sonnet5_naive_expanded,S007,sonnet5,naive,expanded,True,True,valid,high,high,True,0.001986
S007_sonnet46_decomposed_short,S007,sonnet46,decomposed,short,True,True,valid,high,high,True,0.009093
S007_kimi25_decomposed_expanded,S007,kimi25,decomposed,expanded,True,True,valid,high,high,True,0.01394733
S007_haiku45_decomposed_short,S007,haiku45,decomposed,short,True,True,valid,high,high,True,0.00331
S007_gpt52_decomposed_short,S007,gpt52,decomposed,short,True,True,valid,high,minimal,False,0.0160685
S007_kimi3_naive_expanded,S007,kimi3,naive,expanded,True,True,valid,high,high,True,0.013485
S007_gpt56sol_naive_expanded,S007,gpt56sol,naive,expanded,True,True,valid,high,minimal,False,0.005956
S007_gpt56luna_naive_expanded,S007,gpt56luna,naive,expanded,True,True,valid,high,minimal,False,0.0005096
S007_qwen38max_decomposed_short,S007,qwen38max,decomposed,short,True,True,missing_content,high,__missing__,False,0.028886
S007_gemini3f_naive_expanded,S007,gemini3f,naive,expanded,True,True,valid,high,high,True,0.0003375
S007_gemini37f_naive_short,S007,gemini37f,naive,short,True,True,valid,high,high,True,0.00181725
S007_gpt56sol_naive_short,S007,gpt56sol,naive,short,True,True,valid,high,high,True,0.004468
S007_gemma27b_naive_short,S007,gemma27b,naive,short,True,True,valid,high,high,True,0.000052832
S007_qwen3827b_naive_short,S007,qwen3827b,naive,short,True,True,valid,high,minimal,False,0.0153544
S007_qwen3827b_naive_expanded,S007,qwen3827b,naive,expanded,True,True,valid,high,minimal,False,0.023447675
S007_gemini37f_decomposed_short,S007,gemini37f,decomposed,short,True,True,valid,high,minimal,False,0.005244
S007_haiku45_decomposed_expanded,S007,haiku45,decomposed,expanded,True,True,valid,high,minimal,False,0.003541
S007_kimi3_naive_short,S007,kimi3,naive,short,True,True,valid,high,high,True,0.007953
S007_gpt52_decomposed_expanded,S007,gpt52,decomposed,expanded,True,True,valid,high,minimal,False,0.008645
S007_sonnet46_naive_short,S007,sonnet46,naive,short,True,True,valid,high,high,True,0.002214
S007_qwen3827b_decomposed_expanded,S007,qwen3827b,decomposed,expanded,True,True,valid,high,minimal,False,0.010914
S007_sonnet46_decomposed_expanded,S007,sonnet46,decomposed,expanded,True,True,valid,high,high,True,0.009306
S007_gemini3f_decomposed_expanded,S007,gemini3f,decomposed,expanded,True,True,valid,high,high,True,0.0014945
S007_gemini3f_naive_short,S007,gemini3f,naive,short,True,True,valid,high,high,True,0.000339
S007_gpt56sol_decomposed_expanded,S007,gpt56sol,decomposed,expanded,True,True,valid,high,transparency,False,0.004599
S007_grok46_naive_expanded,S007,grok46,naive,expanded,True,True,valid,high,transparency,False,0.030704
S007_qwen38max_naive_expanded,S007,qwen38max,naive,expanded,True,True,valid,high,high,True,0.011354
S007_gpt56luna_decomposed_expanded,S007,gpt56luna,decomposed,expanded,True,True,valid,high,transparency,False,0.00124565
S007_gpt56luna_naive_short,S007,gpt56luna,naive,short,True,True,valid,high,minimal,False,0.0007508
S007_gpt56luna_decomposed_short,S007,gpt56luna,decomposed,short,True,True,valid,high,transparency,False,0.0006278
S007_gemma27b_decomposed_short,S007,gemma27b,decomposed,short,True,True,valid,high,high,True,0.000280627
S007_grok46_naive_short,S007,grok46,naive,short,True,True,valid,high,high,True,0.047518
S007_sonnet46_naive_expanded,S007,sonnet46,naive,expanded,True,True,valid,high,high,True,0.002217
S007_sonnet5_decomposed_expanded,S007,sonnet5,decomposed,expanded,True,True,valid,high,minimal,False,0.022908
S007_qwen38max_decomposed_expanded,S007,qwen38max,decomposed,expanded,True,True,missing_content,high,__missing__,False,0.02542
S007_gemini3f_decomposed_short,S007,gemini3f,decomposed,short,True,True,valid,high,high,True,0.001427
S007_kimi25_naive_expanded,S007,kimi25,naive,expanded,True,True,valid,high,high,True,0.00374547
S007_kimi25_decomposed_short,S007,kimi25,decomposed,short,True,True,valid,high,high,True,0.0114304
S007_gemma27b_naive_expanded,S007,gemma27b,naive,expanded,True,True,valid,high,high,True,0.000060248
S007_gpt52_naive_expanded,S007,gpt52,naive,expanded,True,True,valid,high,high,True,0.0039165
S007_kimi3_decomposed_short,S007,kimi3,decomposed,short,True,True,missing_content,high,__missing__,False,0.067932
S007_kimi25_naive_short,S007,kimi25,naive,short,True,True,valid,high,high,True,0.00357884
