model,prompt,evidence,reference,prediction,count
gemini37f,naive,short,minimal,minimal,2
gemini37f,naive,short,minimal,transparency,0
gemini37f,naive,short,minimal,high,0
gemini37f,naive,short,minimal,prohibited,0
gemini37f,naive,short,minimal,not_ai_system,0
gemini37f,naive,short,minimal,insufficient_information,0
gemini37f,naive,short,minimal,__missing__,0
gemini37f,naive,short,transparency,minimal,0
gemini37f,naive,short,transparency,transparency,1
gemini37f,naive,short,transparency,high,0
gemini37f,naive,short,transparency,prohibited,0
gemini37f,naive,short,transparency,not_ai_system,0
gemini37f,naive,short,transparency,insufficient_information,0
gemini37f,naive,short,transparency,__missing__,0
gemini37f,naive,short,high,minimal,0
gemini37f,naive,short,high,transparency,0
gemini37f,naive,short,high,high,8
gemini37f,naive,short,high,prohibited,1
gemini37f,naive,short,high,not_ai_system,0
gemini37f,naive,short,high,insufficient_information,0
gemini37f,naive,short,high,__missing__,0
gemini37f,naive,short,prohibited,minimal,0
gemini37f,naive,short,prohibited,transparency,0
gemini37f,naive,short,prohibited,high,0
gemini37f,naive,short,prohibited,prohibited,1
gemini37f,naive,short,prohibited,not_ai_system,0
gemini37f,naive,short,prohibited,insufficient_information,0
gemini37f,naive,short,prohibited,__missing__,0
gemini37f,naive,short,not_ai_system,minimal,0
gemini37f,naive,short,not_ai_system,transparency,0
gemini37f,naive,short,not_ai_system,high,0
gemini37f,naive,short,not_ai_system,prohibited,0
gemini37f,naive,short,not_ai_system,not_ai_system,1
gemini37f,naive,short,not_ai_system,insufficient_information,0
gemini37f,naive,short,not_ai_system,__missing__,0
gemini37f,naive,short,insufficient_information,minimal,0
gemini37f,naive,short,insufficient_information,transparency,0
gemini37f,naive,short,insufficient_information,high,0
gemini37f,naive,short,insufficient_information,prohibited,0
gemini37f,naive,short,insufficient_information,not_ai_system,0
gemini37f,naive,short,insufficient_information,insufficient_information,0
gemini37f,naive,short,insufficient_information,__missing__,0
gemini3f,naive,short,minimal,minimal,2
gemini3f,naive,short,minimal,transparency,0
gemini3f,naive,short,minimal,high,0
gemini3f,naive,short,minimal,prohibited,0
gemini3f,naive,short,minimal,not_ai_system,0
gemini3f,naive,short,minimal,insufficient_information,0
gemini3f,naive,short,minimal,__missing__,0
gemini3f,naive,short,transparency,minimal,0
gemini3f,naive,short,transparency,transparency,1
gemini3f,naive,short,transparency,high,0
gemini3f,naive,short,transparency,prohibited,0
gemini3f,naive,short,transparency,not_ai_system,0
gemini3f,naive,short,transparency,insufficient_information,0
gemini3f,naive,short,transparency,__missing__,0
gemini3f,naive,short,high,minimal,0
gemini3f,naive,short,high,transparency,0
gemini3f,naive,short,high,high,9
gemini3f,naive,short,high,prohibited,0
gemini3f,naive,short,high,not_ai_system,0
gemini3f,naive,short,high,insufficient_information,0
gemini3f,naive,short,high,__missing__,0
gemini3f,naive,short,prohibited,minimal,0
gemini3f,naive,short,prohibited,transparency,0
gemini3f,naive,short,prohibited,high,0
gemini3f,naive,short,prohibited,prohibited,1
gemini3f,naive,short,prohibited,not_ai_system,0
gemini3f,naive,short,prohibited,insufficient_information,0
gemini3f,naive,short,prohibited,__missing__,0
gemini3f,naive,short,not_ai_system,minimal,0
gemini3f,naive,short,not_ai_system,transparency,0
gemini3f,naive,short,not_ai_system,high,0
gemini3f,naive,short,not_ai_system,prohibited,0
gemini3f,naive,short,not_ai_system,not_ai_system,1
gemini3f,naive,short,not_ai_system,insufficient_information,0
gemini3f,naive,short,not_ai_system,__missing__,0
gemini3f,naive,short,insufficient_information,minimal,0
gemini3f,naive,short,insufficient_information,transparency,0
gemini3f,naive,short,insufficient_information,high,0
gemini3f,naive,short,insufficient_information,prohibited,0
gemini3f,naive,short,insufficient_information,not_ai_system,0
gemini3f,naive,short,insufficient_information,insufficient_information,0
gemini3f,naive,short,insufficient_information,__missing__,0
gemma27b,naive,short,minimal,minimal,0
gemma27b,naive,short,minimal,transparency,0
gemma27b,naive,short,minimal,high,2
gemma27b,naive,short,minimal,prohibited,0
gemma27b,naive,short,minimal,not_ai_system,0
gemma27b,naive,short,minimal,insufficient_information,0
gemma27b,naive,short,minimal,__missing__,0
gemma27b,naive,short,transparency,minimal,0
gemma27b,naive,short,transparency,transparency,1
gemma27b,naive,short,transparency,high,0
gemma27b,naive,short,transparency,prohibited,0
gemma27b,naive,short,transparency,not_ai_system,0
gemma27b,naive,short,transparency,insufficient_information,0
gemma27b,naive,short,transparency,__missing__,0
gemma27b,naive,short,high,minimal,0
gemma27b,naive,short,high,transparency,0
gemma27b,naive,short,high,high,9
gemma27b,naive,short,high,prohibited,0
gemma27b,naive,short,high,not_ai_system,0
gemma27b,naive,short,high,insufficient_information,0
gemma27b,naive,short,high,__missing__,0
gemma27b,naive,short,prohibited,minimal,0
gemma27b,naive,short,prohibited,transparency,0
gemma27b,naive,short,prohibited,high,0
gemma27b,naive,short,prohibited,prohibited,1
gemma27b,naive,short,prohibited,not_ai_system,0
gemma27b,naive,short,prohibited,insufficient_information,0
gemma27b,naive,short,prohibited,__missing__,0
gemma27b,naive,short,not_ai_system,minimal,0
gemma27b,naive,short,not_ai_system,transparency,1
gemma27b,naive,short,not_ai_system,high,0
gemma27b,naive,short,not_ai_system,prohibited,0
gemma27b,naive,short,not_ai_system,not_ai_system,0
gemma27b,naive,short,not_ai_system,insufficient_information,0
gemma27b,naive,short,not_ai_system,__missing__,0
gemma27b,naive,short,insufficient_information,minimal,0
gemma27b,naive,short,insufficient_information,transparency,0
gemma27b,naive,short,insufficient_information,high,0
gemma27b,naive,short,insufficient_information,prohibited,0
gemma27b,naive,short,insufficient_information,not_ai_system,0
gemma27b,naive,short,insufficient_information,insufficient_information,0
gemma27b,naive,short,insufficient_information,__missing__,0
gpt52,naive,short,minimal,minimal,2
gpt52,naive,short,minimal,transparency,0
gpt52,naive,short,minimal,high,0
gpt52,naive,short,minimal,prohibited,0
gpt52,naive,short,minimal,not_ai_system,0
gpt52,naive,short,minimal,insufficient_information,0
gpt52,naive,short,minimal,__missing__,0
gpt52,naive,short,transparency,minimal,0
gpt52,naive,short,transparency,transparency,1
gpt52,naive,short,transparency,high,0
gpt52,naive,short,transparency,prohibited,0
gpt52,naive,short,transparency,not_ai_system,0
gpt52,naive,short,transparency,insufficient_information,0
gpt52,naive,short,transparency,__missing__,0
gpt52,naive,short,high,minimal,0
gpt52,naive,short,high,transparency,0
gpt52,naive,short,high,high,9
gpt52,naive,short,high,prohibited,0
gpt52,naive,short,high,not_ai_system,0
gpt52,naive,short,high,insufficient_information,0
gpt52,naive,short,high,__missing__,0
gpt52,naive,short,prohibited,minimal,0
gpt52,naive,short,prohibited,transparency,0
gpt52,naive,short,prohibited,high,0
gpt52,naive,short,prohibited,prohibited,1
gpt52,naive,short,prohibited,not_ai_system,0
gpt52,naive,short,prohibited,insufficient_information,0
gpt52,naive,short,prohibited,__missing__,0
gpt52,naive,short,not_ai_system,minimal,0
