model,prompt,intended_pairs,common_valid_pairs,common_ordinal_pairs,changed_labels,toward_reference,away_from_reference,intended_exact_delta,intended_exact_delta_lo,intended_exact_delta_hi,intended_exact_delta_defined_draws,common_exact_delta,common_exact_delta_lo,common_exact_delta_hi,common_exact_delta_defined_draws,common_macro_f1_delta,common_macro_f1_delta_lo,common_macro_f1_delta_hi,common_macro_f1_delta_defined_draws,common_qwk_delta,common_qwk_delta_lo,common_qwk_delta_hi,common_qwk_delta_defined_draws,classification_change_rate,classification_change_rate_lo,classification_change_rate_hi,classification_change_rate_defined_draws
gemini37f,naive,14,14,13,0,0,0,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,9980,0.0,0.0,0.0,10000
gemini3f,naive,14,14,13,1,0,1,-0.0714285714285714,-0.2142857142857143,0.0,10000,-0.0714285714285714,-0.2142857142857143,0.0,10000,-0.06535947712418311,-0.12631578947368416,0.0,10000,-0.052208835341365445,-0.33333333333333326,0.0,9929,0.07142857142857142,0.0,0.21428571428571427,10000
gemma27b,naive,14,14,13,0,0,0,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,9929,0.0,0.0,0.0,10000
gpt52,naive,14,14,13,2,0,2,-0.1428571428571429,-0.3571428571428571,0.0,10000,-0.1428571428571429,-0.3571428571428571,0.0,10000,-0.10972222222222228,-0.18888888888888888,0.0,10000,-0.22807017543859653,-0.7272727272727277,0.0,9929,0.14285714285714285,0.0,0.35714285714285715,10000
gpt56luna,naive,14,14,13,0,0,0,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000
gpt56sol,naive,14,14,11,5,2,3,-0.0714285714285714,-0.3571428571428572,0.2142857142857143,10000,-0.0714285714285714,-0.3571428571428572,0.2142857142857143,10000,-0.06984126984127004,-0.20833333333333331,0.11861471861471862,10000,-0.015770117808389772,-0.46553201970443364,0.3860285328706373,9998,0.35714285714285715,0.14285714285714285,0.6428571428571429,10000
grok46,naive,14,14,12,3,1,2,-0.0714285714285714,-0.28571428571428575,0.1428571428571429,10000,-0.0714285714285714,-0.28571428571428575,0.1428571428571429,10000,-0.10317460317460303,-0.18732055322128852,0.0805555555555556,10000,0.09713574097135746,-0.13533834586466165,0.42859231411862964,9998,0.21428571428571427,0.0,0.42857142857142855,10000
haiku45,naive,14,14,13,0,0,0,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,9929,0.0,0.0,0.0,10000
kimi25,naive,14,14,13,2,2,0,0.1428571428571428,0.0,0.3571428571428571,10000,0.1428571428571428,0.0,0.3571428571428571,10000,0.12962962962962954,0.0,0.21052631578947362,10000,0.4882629107981221,0.0,0.9999999999999999,9980,0.14285714285714285,0.0,0.35714285714285715,10000
kimi3,naive,14,13,12,1,1,0,0.0714285714285714,0.0,0.2142857142857143,10000,0.07692307692307698,0.0,0.25,10000,0.06427015250544665,0.0,0.1901960784313726,10000,0.31117021276595724,0.0,0.9999999999999982,9912,0.07692307692307693,0.0,0.25,10000
qwen3827b,naive,14,13,12,2,1,1,0.0714285714285714,-0.1428571428571429,0.28571428571428575,10000,0.0,-0.23076923076923073,0.23076923076923073,10000,-0.015873015873015928,-0.08781512605042019,0.03888888888888897,10000,-0.133377049180328,-0.45270175438596505,0.06512523238636152,9994,0.15384615384615385,0.0,0.38461538461538464,10000
qwen38max,naive,14,10,9,0,0,0,0.0,-0.2142857142857143,0.2142857142857143,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,9894,0.0,0.0,0.0,10000
sonnet46,naive,14,14,13,1,1,0,0.0714285714285714,0.0,0.2142857142857143,10000,0.0714285714285714,0.0,0.2142857142857143,10000,0.22222222222222232,0.0,0.26666666666666666,10000,0.21311475409836067,0.0,1.6249999999999993,9929,0.07142857142857142,0.0,0.21428571428571427,10000
sonnet5,naive,14,11,10,1,1,0,0.0714285714285714,-0.1428571428571429,0.28571428571428575,10000,0.09090909090909083,0.0,0.30000000000000004,10000,0.04829059829059834,0.0,0.13782092635033805,10000,0.18653867132104296,0.0,0.6125153374233128,9902,0.09090909090909091,0.0,0.3,10000
gemini37f,decomposed,14,14,12,2,0,2,-0.1428571428571428,-0.35714285714285715,0.0,10000,-0.1428571428571428,-0.35714285714285715,0.0,10000,-0.10219780219780206,-0.18333333333333335,0.0,10000,-0.11161846778285123,-0.3968851746350123,0.0,9999,0.14285714285714285,0.0,0.35714285714285715,10000
gemini3f,decomposed,14,14,13,0,0,0,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,9980,0.0,0.0,0.0,10000
gemma27b,decomposed,14,14,13,1,0,1,-0.07142857142857151,-0.2142857142857143,0.0,10000,-0.07142857142857151,-0.2142857142857143,0.0,10000,-0.10555555555555551,-0.22500000000000003,0.0,10000,-0.5492957746478875,-1.4210526315789478,0.0,9929,0.07142857142857142,0.0,0.21428571428571427,10000
gpt52,decomposed,14,13,10,2,0,2,-0.0714285714285714,-0.28571428571428575,0.1428571428571429,10000,-0.15384615384615385,-0.3846153846153846,0.0,10000,-0.11011904761904756,-0.1736111111111111,0.0,10000,0.0,0.0,0.0,9977,0.15384615384615385,0.0,0.38461538461538464,10000
gpt56luna,decomposed,14,14,12,4,0,3,-0.2142857142857143,-0.4285714285714286,0.0,10000,-0.2142857142857143,-0.4285714285714286,0.0,10000,-0.21269841269841266,-0.3119062881562882,0.013888888888888841,10000,-0.449279028585884,-0.9137767532395729,0.0,10000,0.2857142857142857,0.07142857142857142,0.5714285714285714,10000
gpt56sol,decomposed,14,14,11,3,0,3,-0.2142857142857143,-0.4285714285714286,0.0,10000,-0.2142857142857143,-0.4285714285714286,0.0,10000,-0.16666666666666663,-0.2553621031746033,0.0,10000,-0.16457249722400802,-0.509318853347472,0.0,9999,0.21428571428571427,0.0,0.42857142857142855,10000
grok46,decomposed,14,14,13,2,2,0,0.1428571428571428,0.0,0.35714285714285715,10000,0.1428571428571428,0.0,0.35714285714285715,10000,0.10873015873015879,0.0,0.2333333333333334,10000,0.2157802454704849,0.0,0.5602132149771576,9999,0.14285714285714285,0.0,0.35714285714285715,10000
