sample_id,model,prompt,reference,short_prediction,expanded_prediction,common_valid,changed,toward_reference,away_from_reference
S005,gemini37f,naive,high,high,high,True,False,False,False
S006,gemini37f,naive,high,high,high,True,False,False,False
S007,gemini37f,naive,high,high,high,True,False,False,False
S008,gemini37f,naive,high,high,high,True,False,False,False
S009,gemini37f,naive,high,high,high,True,False,False,False
S010,gemini37f,naive,prohibited,prohibited,prohibited,True,False,False,False
S011,gemini37f,naive,high,prohibited,prohibited,True,False,False,False
S013,gemini37f,naive,high,high,high,True,False,False,False
S014,gemini37f,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,gemini37f,naive,minimal,minimal,minimal,True,False,False,False
S016,gemini37f,naive,high,high,high,True,False,False,False
S018,gemini37f,naive,transparency,transparency,transparency,True,False,False,False
S020,gemini37f,naive,minimal,minimal,minimal,True,False,False,False
S021,gemini37f,naive,high,high,high,True,False,False,False
S005,gemini3f,naive,high,high,high,True,False,False,False
S006,gemini3f,naive,high,high,high,True,False,False,False
S007,gemini3f,naive,high,high,high,True,False,False,False
S008,gemini3f,naive,high,high,high,True,False,False,False
S009,gemini3f,naive,high,high,high,True,False,False,False
S010,gemini3f,naive,prohibited,prohibited,prohibited,True,False,False,False
S011,gemini3f,naive,high,high,prohibited,True,True,False,True
S013,gemini3f,naive,high,high,high,True,False,False,False
S014,gemini3f,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,gemini3f,naive,minimal,minimal,minimal,True,False,False,False
S016,gemini3f,naive,high,high,high,True,False,False,False
S018,gemini3f,naive,transparency,transparency,transparency,True,False,False,False
S020,gemini3f,naive,minimal,minimal,minimal,True,False,False,False
S021,gemini3f,naive,high,high,high,True,False,False,False
S005,gemma27b,naive,high,high,high,True,False,False,False
S006,gemma27b,naive,high,high,high,True,False,False,False
S007,gemma27b,naive,high,high,high,True,False,False,False
S008,gemma27b,naive,high,high,high,True,False,False,False
S009,gemma27b,naive,high,high,high,True,False,False,False
S010,gemma27b,naive,prohibited,prohibited,prohibited,True,False,False,False
S011,gemma27b,naive,high,high,high,True,False,False,False
S013,gemma27b,naive,high,high,high,True,False,False,False
S014,gemma27b,naive,not_ai_system,transparency,transparency,True,False,False,False
S015,gemma27b,naive,minimal,high,high,True,False,False,False
S016,gemma27b,naive,high,high,high,True,False,False,False
S018,gemma27b,naive,transparency,transparency,transparency,True,False,False,False
S020,gemma27b,naive,minimal,high,high,True,False,False,False
S021,gemma27b,naive,high,high,high,True,False,False,False
S005,gpt52,naive,high,high,high,True,False,False,False
S006,gpt52,naive,high,high,high,True,False,False,False
S007,gpt52,naive,high,high,high,True,False,False,False
S008,gpt52,naive,high,high,high,True,False,False,False
S009,gpt52,naive,high,high,high,True,False,False,False
S010,gpt52,naive,prohibited,prohibited,prohibited,True,False,False,False
S011,gpt52,naive,high,high,prohibited,True,True,False,True
S013,gpt52,naive,high,high,minimal,True,True,False,True
S014,gpt52,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,gpt52,naive,minimal,minimal,minimal,True,False,False,False
S016,gpt52,naive,high,high,high,True,False,False,False
S018,gpt52,naive,transparency,transparency,transparency,True,False,False,False
S020,gpt52,naive,minimal,minimal,minimal,True,False,False,False
S021,gpt52,naive,high,high,high,True,False,False,False
S005,gpt56luna,naive,high,high,high,True,False,False,False
S006,gpt56luna,naive,high,high,high,True,False,False,False
S007,gpt56luna,naive,high,minimal,minimal,True,False,False,False
S008,gpt56luna,naive,high,high,high,True,False,False,False
S009,gpt56luna,naive,high,high,high,True,False,False,False
S010,gpt56luna,naive,prohibited,prohibited,prohibited,True,False,False,False
S011,gpt56luna,naive,high,prohibited,prohibited,True,False,False,False
S013,gpt56luna,naive,high,minimal,minimal,True,False,False,False
S014,gpt56luna,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,gpt56luna,naive,minimal,minimal,minimal,True,False,False,False
S016,gpt56luna,naive,high,high,high,True,False,False,False
S018,gpt56luna,naive,transparency,transparency,transparency,True,False,False,False
S020,gpt56luna,naive,minimal,minimal,minimal,True,False,False,False
S021,gpt56luna,naive,high,high,high,True,False,False,False
S005,gpt56sol,naive,high,minimal,minimal,True,False,False,False
S006,gpt56sol,naive,high,not_ai_system,high,True,True,True,False
S007,gpt56sol,naive,high,high,minimal,True,True,False,True
S008,gpt56sol,naive,high,high,high,True,False,False,False
S009,gpt56sol,naive,high,high,high,True,False,False,False
S010,gpt56sol,naive,prohibited,prohibited,prohibited,True,False,False,False
S011,gpt56sol,naive,high,high,prohibited,True,True,False,True
S013,gpt56sol,naive,high,minimal,high,True,True,True,False
S014,gpt56sol,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,gpt56sol,naive,minimal,minimal,minimal,True,False,False,False
S016,gpt56sol,naive,high,high,high,True,False,False,False
S018,gpt56sol,naive,transparency,transparency,transparency,True,False,False,False
S020,gpt56sol,naive,minimal,minimal,minimal,True,False,False,False
S021,gpt56sol,naive,high,high,not_ai_system,True,True,False,True
S005,grok46,naive,high,minimal,minimal,True,False,False,False
S006,grok46,naive,high,high,not_ai_system,True,True,False,True
S007,grok46,naive,high,high,transparency,True,True,False,True
S008,grok46,naive,high,high,high,True,False,False,False
S009,grok46,naive,high,high,high,True,False,False,False
S010,grok46,naive,prohibited,prohibited,prohibited,True,False,False,False
