sample_id,split,condition,model,run,risk_tier,steps,rationale,pilot
S001,dev,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",The warehouse robot is general industrial machinery that normally self-certifies under EU machinery legislation and falls outside the high-risk use cases listed in Annex III.,False
S002,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","Amazon Alexa is a consumer voice assistant intended to interact directly with natural persons, making it subject to Article 50 transparency obligations rather than high-risk classifications.",False
S003,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generates synthetic video and audio (deepfakes), which does not fall under Annex I or Annex III high-risk use cases but is subject to transparency obligations under Article 50.",False
S004,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system is an AI image-captioning model developed as a research experiment, which falls outside Annex III high-risk use cases but generates synthetic text subject to transparency obligations under Article 50.",False
S005,heldout,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","An automated passport photo quality verification tool is not an Annex I safety component, does not fall under any Annex III high-risk use cases, and is not subject to specific Article 50 transparency obligations.",False
S006,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system is used by a public authority to evaluate, recalculate, or reclaim public assistance benefits, which falls squarely under Annex III, point 5(a) as a high-risk AI system.",False
S007,heldout,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The passport photo quality checking tool does not fall under any Annex III high-risk use cases or prohibited practices, making it a minimal-risk AI system.",False
S008,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Tesla Autopilot functions as a safety component of a motor vehicle under Union harmonisation legislation requiring third-party conformity assessment (type approval), classifying it as a high-risk AI system under Article 6(1) and Annex I.",False
S009,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Tesla's Autopilot is an AI safety component in a motor vehicle, which falls under Union harmonisation legislation listed in Annex I requiring third-party conformity assessment.",False
S010,heldout,decomposed,gemini37f,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI system uses biometric categorisation to deduce or infer race, which is a prohibited AI practice under Article 5(1)(g) of the EU AI Act.",False
S011,heldout,decomposed,gemini37f,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","PimEyes creates and expands a facial recognition database via untargeted scraping of facial images from the internet, which is prohibited under Article 5(1)(e) of the EU AI Act.",False
S012,dev,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system is used by a public authority to determine and adjust the allocation of essential public assistance and healthcare benefits under Annex III, Point 5(a).",False
S013,heldout,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Acoustic gunshot detection systems used by police do not fall under any of the specific high-risk categories listed in Annex III or Annex I, making the system minimal risk.",False
S014,heldout,decomposed,gemini37f,1,not_ai_system,"{""art3_1"": ""not_ai_system"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The system relied on simple deterministic keyword lists without any inferential capability, meaning it is not an AI system under Article 3(1).",False
