model,condition,reference,prediction,count
gemini37f,naive,minimal,minimal,7
gemini37f,naive,minimal,transparency,0
gemini37f,naive,minimal,high,2
gemini37f,naive,minimal,prohibited,0
gemini37f,naive,minimal,not_ai_system,0
gemini37f,naive,minimal,insufficient_information,0
gemini37f,naive,minimal,__missing__,0
gemini37f,naive,transparency,minimal,3
gemini37f,naive,transparency,transparency,64
gemini37f,naive,transparency,high,1
gemini37f,naive,transparency,prohibited,1
gemini37f,naive,transparency,not_ai_system,0
gemini37f,naive,transparency,insufficient_information,0
gemini37f,naive,transparency,__missing__,0
gemini37f,naive,high,minimal,0
gemini37f,naive,high,transparency,2
gemini37f,naive,high,high,39
gemini37f,naive,high,prohibited,3
gemini37f,naive,high,not_ai_system,0
gemini37f,naive,high,insufficient_information,0
gemini37f,naive,high,__missing__,0
gemini37f,naive,prohibited,minimal,1
gemini37f,naive,prohibited,transparency,13
gemini37f,naive,prohibited,high,0
gemini37f,naive,prohibited,prohibited,4
gemini37f,naive,prohibited,not_ai_system,0
gemini37f,naive,prohibited,insufficient_information,0
gemini37f,naive,prohibited,__missing__,0
gemini37f,naive,not_ai_system,minimal,0
gemini37f,naive,not_ai_system,transparency,0
gemini37f,naive,not_ai_system,high,0
gemini37f,naive,not_ai_system,prohibited,0
gemini37f,naive,not_ai_system,not_ai_system,2
gemini37f,naive,not_ai_system,insufficient_information,0
gemini37f,naive,not_ai_system,__missing__,0
gemini37f,naive,insufficient_information,minimal,0
gemini37f,naive,insufficient_information,transparency,1
gemini37f,naive,insufficient_information,high,0
gemini37f,naive,insufficient_information,prohibited,0
gemini37f,naive,insufficient_information,not_ai_system,0
gemini37f,naive,insufficient_information,insufficient_information,1
gemini37f,naive,insufficient_information,__missing__,0
gemini37f,decomposed,minimal,minimal,9
gemini37f,decomposed,minimal,transparency,0
gemini37f,decomposed,minimal,high,0
gemini37f,decomposed,minimal,prohibited,0
gemini37f,decomposed,minimal,not_ai_system,0
gemini37f,decomposed,minimal,insufficient_information,0
gemini37f,decomposed,minimal,__missing__,0
gemini37f,decomposed,transparency,minimal,0
gemini37f,decomposed,transparency,transparency,69
gemini37f,decomposed,transparency,high,0
gemini37f,decomposed,transparency,prohibited,0
gemini37f,decomposed,transparency,not_ai_system,0
gemini37f,decomposed,transparency,insufficient_information,0
gemini37f,decomposed,transparency,__missing__,0
gemini37f,decomposed,high,minimal,3
gemini37f,decomposed,high,transparency,1
gemini37f,decomposed,high,high,38
gemini37f,decomposed,high,prohibited,2
gemini37f,decomposed,high,not_ai_system,0
gemini37f,decomposed,high,insufficient_information,0
gemini37f,decomposed,high,__missing__,0
gemini37f,decomposed,prohibited,minimal,0
gemini37f,decomposed,prohibited,transparency,14
gemini37f,decomposed,prohibited,high,1
gemini37f,decomposed,prohibited,prohibited,3
gemini37f,decomposed,prohibited,not_ai_system,0
gemini37f,decomposed,prohibited,insufficient_information,0
gemini37f,decomposed,prohibited,__missing__,0
gemini37f,decomposed,not_ai_system,minimal,0
gemini37f,decomposed,not_ai_system,transparency,0
gemini37f,decomposed,not_ai_system,high,0
gemini37f,decomposed,not_ai_system,prohibited,0
gemini37f,decomposed,not_ai_system,not_ai_system,2
gemini37f,decomposed,not_ai_system,insufficient_information,0
gemini37f,decomposed,not_ai_system,__missing__,0
gemini37f,decomposed,insufficient_information,minimal,0
gemini37f,decomposed,insufficient_information,transparency,2
gemini37f,decomposed,insufficient_information,high,0
gemini37f,decomposed,insufficient_information,prohibited,0
gemini37f,decomposed,insufficient_information,not_ai_system,0
gemini37f,decomposed,insufficient_information,insufficient_information,0
gemini37f,decomposed,insufficient_information,__missing__,0
gemini3f,naive,minimal,minimal,2
gemini3f,naive,minimal,transparency,1
gemini3f,naive,minimal,high,6
gemini3f,naive,minimal,prohibited,0
gemini3f,naive,minimal,not_ai_system,0
gemini3f,naive,minimal,insufficient_information,0
gemini3f,naive,minimal,__missing__,0
gemini3f,naive,transparency,minimal,1
gemini3f,naive,transparency,transparency,63
gemini3f,naive,transparency,high,3
gemini3f,naive,transparency,prohibited,0
gemini3f,naive,transparency,not_ai_system,0
gemini3f,naive,transparency,insufficient_information,0
gemini3f,naive,transparency,__missing__,2
gemini3f,naive,high,minimal,0
gemini3f,naive,high,transparency,1
gemini3f,naive,high,high,41
gemini3f,naive,high,prohibited,2
gemini3f,naive,high,not_ai_system,0
gemini3f,naive,high,insufficient_information,0
gemini3f,naive,high,__missing__,0
gemini3f,naive,prohibited,minimal,0
gemini3f,naive,prohibited,transparency,13
gemini3f,naive,prohibited,high,1
gemini3f,naive,prohibited,prohibited,4
gemini3f,naive,prohibited,not_ai_system,0
gemini3f,naive,prohibited,insufficient_information,0
gemini3f,naive,prohibited,__missing__,0
gemini3f,naive,not_ai_system,minimal,0
gemini3f,naive,not_ai_system,transparency,0
gemini3f,naive,not_ai_system,high,1
gemini3f,naive,not_ai_system,prohibited,0
gemini3f,naive,not_ai_system,not_ai_system,1
gemini3f,naive,not_ai_system,insufficient_information,0
gemini3f,naive,not_ai_system,__missing__,0
gemini3f,naive,insufficient_information,minimal,0
gemini3f,naive,insufficient_information,transparency,1
gemini3f,naive,insufficient_information,high,0
gemini3f,naive,insufficient_information,prohibited,1
gemini3f,naive,insufficient_information,not_ai_system,0
gemini3f,naive,insufficient_information,insufficient_information,0
gemini3f,naive,insufficient_information,__missing__,0
gemini3f,decomposed,minimal,minimal,3
gemini3f,decomposed,minimal,transparency,2
gemini3f,decomposed,minimal,high,4
gemini3f,decomposed,minimal,prohibited,0
gemini3f,decomposed,minimal,not_ai_system,0
gemini3f,decomposed,minimal,insufficient_information,0
gemini3f,decomposed,minimal,__missing__,0
gemini3f,decomposed,transparency,minimal,0
gemini3f,decomposed,transparency,transparency,67
gemini3f,decomposed,transparency,high,2
gemini3f,decomposed,transparency,prohibited,0
gemini3f,decomposed,transparency,not_ai_system,0
gemini3f,decomposed,transparency,insufficient_information,0
gemini3f,decomposed,transparency,__missing__,0
gemini3f,decomposed,high,minimal,0
gemini3f,decomposed,high,transparency,4
gemini3f,decomposed,high,high,40
gemini3f,decomposed,high,prohibited,0
gemini3f,decomposed,high,not_ai_system,0
gemini3f,decomposed,high,insufficient_information,0
gemini3f,decomposed,high,__missing__,0
gemini3f,decomposed,prohibited,minimal,1
gemini3f,decomposed,prohibited,transparency,12
gemini3f,decomposed,prohibited,high,4
gemini3f,decomposed,prohibited,prohibited,1
gemini3f,decomposed,prohibited,not_ai_system,0
gemini3f,decomposed,prohibited,insufficient_information,0
gemini3f,decomposed,prohibited,__missing__,0
gemini3f,decomposed,not_ai_system,minimal,0
gemini3f,decomposed,not_ai_system,transparency,0
gemini3f,decomposed,not_ai_system,high,1
gemini3f,decomposed,not_ai_system,prohibited,0
gemini3f,decomposed,not_ai_system,not_ai_system,1
gemini3f,decomposed,not_ai_system,insufficient_information,0
gemini3f,decomposed,not_ai_system,__missing__,0
gemini3f,decomposed,insufficient_information,minimal,0
gemini3f,decomposed,insufficient_information,transparency,2
gemini3f,decomposed,insufficient_information,high,0
gemini3f,decomposed,insufficient_information,prohibited,0
gemini3f,decomposed,insufficient_information,not_ai_system,0
gemini3f,decomposed,insufficient_information,insufficient_information,0
gemini3f,decomposed,insufficient_information,__missing__,0
gemma27b,naive,minimal,minimal,0
gemma27b,naive,minimal,transparency,0
gemma27b,naive,minimal,high,9
gemma27b,naive,minimal,prohibited,0
gemma27b,naive,minimal,not_ai_system,0
gemma27b,naive,minimal,insufficient_information,0
gemma27b,naive,minimal,__missing__,0
gemma27b,naive,transparency,minimal,3
gemma27b,naive,transparency,transparency,48
gemma27b,naive,transparency,high,13
gemma27b,naive,transparency,prohibited,5
gemma27b,naive,transparency,not_ai_system,0
gemma27b,naive,transparency,insufficient_information,0
gemma27b,naive,transparency,__missing__,0
gemma27b,naive,high,minimal,0
gemma27b,naive,high,transparency,0
gemma27b,naive,high,high,41
gemma27b,naive,high,prohibited,3
gemma27b,naive,high,not_ai_system,0
gemma27b,naive,high,insufficient_information,0
gemma27b,naive,high,__missing__,0
gemma27b,naive,prohibited,minimal,0
gemma27b,naive,prohibited,transparency,13
gemma27b,naive,prohibited,high,3
gemma27b,naive,prohibited,prohibited,2
gemma27b,naive,prohibited,not_ai_system,0
gemma27b,naive,prohibited,insufficient_information,0
gemma27b,naive,prohibited,__missing__,0
gemma27b,naive,not_ai_system,minimal,0
gemma27b,naive,not_ai_system,transparency,1
gemma27b,naive,not_ai_system,high,1
gemma27b,naive,not_ai_system,prohibited,0
gemma27b,naive,not_ai_system,not_ai_system,0
gemma27b,naive,not_ai_system,insufficient_information,0
gemma27b,naive,not_ai_system,__missing__,0
gemma27b,naive,insufficient_information,minimal,0
gemma27b,naive,insufficient_information,transparency,1
gemma27b,naive,insufficient_information,high,1
gemma27b,naive,insufficient_information,prohibited,0
gemma27b,naive,insufficient_information,not_ai_system,0
gemma27b,naive,insufficient_information,insufficient_information,0
gemma27b,naive,insufficient_information,__missing__,0
gemma27b,decomposed,minimal,minimal,3
gemma27b,decomposed,minimal,transparency,0
gemma27b,decomposed,minimal,high,5
gemma27b,decomposed,minimal,prohibited,1
gemma27b,decomposed,minimal,not_ai_system,0
gemma27b,decomposed,minimal,insufficient_information,0
gemma27b,decomposed,minimal,__missing__,0
gemma27b,decomposed,transparency,minimal,5
gemma27b,decomposed,transparency,transparency,42
gemma27b,decomposed,transparency,high,18
gemma27b,decomposed,transparency,prohibited,4
gemma27b,decomposed,transparency,not_ai_system,0
gemma27b,decomposed,transparency,insufficient_information,0
gemma27b,decomposed,transparency,__missing__,0
gemma27b,decomposed,high,minimal,0
gemma27b,decomposed,high,transparency,0
gemma27b,decomposed,high,high,44
gemma27b,decomposed,high,prohibited,0
gemma27b,decomposed,high,not_ai_system,0
gemma27b,decomposed,high,insufficient_information,0
gemma27b,decomposed,high,__missing__,0
gemma27b,decomposed,prohibited,minimal,1
gemma27b,decomposed,prohibited,transparency,7
